11,Open Water,-1,,358885.230413,3589
21,Developed (Open Space),-1,,17216591.467245,172173
22,Developed (Low Intensity),-1,,6609927.974566,66102
23,Developed (Medium Intensity),-1,,2659590.547030,26597
24,Developed (High Intensity),-1,,584775.934091,5848
31,Barren Land,-1,,49497.962957,495
41,Deciduous Forest,-1,,8033869.373579,80342
42,Evergreen Forest,-1,,5425976.698982,54262
43,Mixed Forest,-1,,5113189.571446,51134
52,Shrub/Scrub,-1,,308787.292147,3088
71,Grassland/Herbaceous,-1,,291687.995852,2917
81,Pasture/Hay,-1,,1059156.411404,10592
82,Cultivated Crops,-1,,111995.390934,1120
90,Woody Wetlands,-1,,271988.806554,2720
95,Emergent Herbaceous Wetlands,-1,,4599.810699,46
